COUNTRY,Country,TIME,Time,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
NOR,Norway,2008,2008,IDX,Index,0,units,,,2.5,,
NOR,Norway,2009,2009,IDX,Index,0,units,,,2.5,,
NOR,Norway,2010,2010,IDX,Index,0,units,,,2.5,,
NOR,Norway,2011,2011,IDX,Index,0,units,,,2.5,,
NOR,Norway,2012,2012,IDX,Index,0,units,,,2.5,,
NOR,Norway,2013,2013,IDX,Index,0,units,,,2.5,,
NZL,New Zealand,2002,2002,IDX,Index,0,units,,,0,,
NZL,New Zealand,2003,2003,IDX,Index,0,units,,,0,,
NZL,New Zealand,2004,2004,IDX,Index,0,units,,,0,,
NZL,New Zealand,2005,2005,IDX,Index,0,units,,,0,,
NZL,New Zealand,2006,2006,IDX,Index,0,units,,,0,,
NZL,New Zealand,2007,2007,IDX,Index,0,units,,,0,,
NZL,New Zealand,2008,2008,IDX,Index,0,units,,,0,,
NZL,New Zealand,2009,2009,IDX,Index,0,units,,,0,,
NZL,New Zealand,2010,2010,IDX,Index,0,units,,,0,,
NZL,New Zealand,2011,2011,IDX,Index,0,units,,,0,,
NZL,New Zealand,2012,2012,IDX,Index,0,units,,,0,,
NZL,New Zealand,2013,2013,IDX,Index,0,units,,,0,,
OECD,OECD countries,2008,2008,IDX,Index,0,units,,,2.903492689,,
OECD,OECD countries,2009,2009,IDX,Index,0,units,,,2.903492689,,
OECD,OECD countries,2010,2010,IDX,Index,0,units,,,2.936580896,,
OECD,OECD countries,2011,2011,IDX,Index,0,units,,,2.936580896,,
OECD,OECD countries,2012,2012,IDX,Index,0,units,,,2.925551414,,
OECD,OECD countries,2013,2013,IDX,Index,0,units,,,2.909007311,,
POL,Poland,2002,2002,IDX,Index,0,units,,,3.375,,
POL,Poland,2003,2003,IDX,Index,0,units,,,3.375,,
POL,Poland,2004,2004,IDX,Index,0,units,,,2.875,,
POL,Poland,2005,2005,IDX,Index,0,units,,,2.875,,
POL,Poland,2006,2006,IDX,Index,0,units,,,2.875,,
POL,Poland,2007,2007,IDX,Index,0,units,,,2.875,,
POL,Poland,2008,2008,IDX,Index,0,units,,,2.875,,
POL,Poland,2009,2009,IDX,Index,0,units,,,2.875,,
POL,Poland,2010,2010,IDX,Index,0,units,,,2.875,,
POL,Poland,2011,2011,IDX,Index,0,units,,,2.875,,
POL,Poland,2012,2012,IDX,Index,0,units,,,2.875,,
POL,Poland,2013,2013,IDX,Index,0,units,,,2.875,,
PRT,Portugal,2002,2002,IDX,Index,0,units,,,2.875,,
PRT,Portugal,2003,2003,IDX,Index,0,units,,,2.875,,
PRT,Portugal,2004,2004,IDX,Index,0,units,,,2.875,,
PRT,Portugal,2005,2005,IDX,Index,0,units,,,2.875,,
PRT,Portugal,2006,2006,IDX,Index,0,units,,,2.875,,
PRT,Portugal,2007,2007,IDX,Index,0,units,,,2.875,,
PRT,Portugal,2008,2008,IDX,Index,0,units,,,1.875,,
