country,eprc_v1,eprc_v2,eprc_v3,epr_v1,epr_v3,epc,ept_v1,ept_v3,year,primerate,youthrate,oldrate,gdp
BEL,1.762,"","",1.762,"","",4.625,,1997,21.2564571202,21.2564571202,7.8831548226,225335
BEL,1.762,2.723,"",1.762,"",5.125,2.375,,1998,20.3829615891,8.3681865349,8.3681865349,233788
BEL,1.762,2.723,"",1.762,"",5.125,2.375,,1998,20.3829615891,20.3829615891,8.3681865349,233788
BEL,1.762,2.723,"",1.762,"",5.125,2.375,,1999,22.5711433995,7.3759407969,7.3759407969,243723
BEL,1.762,2.723,"",1.762,"",5.125,2.375,,1999,22.5711433995,22.5711433995,7.3759407969,243723
BEL,1.762,2.723,"",1.762,"",5.125,2.375,,2000,15.2477972156,5.8324273979,5.8324273979,257605
BEL,1.762,2.723,"",1.762,"",5.125,2.375,,2000,15.2477972156,15.2477972156,5.8324273979,257605
BEL,1.81,2.757,"",1.81,"",5.125,2.375,,2001,15.3328394532,5.3942304567,5.3942304567,265292
BEL,1.81,2.757,"",1.81,"",5.125,2.375,,2001,15.3328394532,15.3328394532,5.3942304567,265292
BEL,1.81,2.757,"",1.81,"",5.125,2.375,,2002,17.7367034381,6.599657386,6.599657386,274565
BEL,1.81,2.757,"",1.81,"",5.125,2.375,,2002,17.7367034381,17.7367034381,6.599657386,274565
BEL,1.81,2.757,"",1.81,"",5.125,2.375,,2003,21.802840784,7.06500693,7.06500693,282256
BEL,1.81,2.757,"",1.81,"",5.125,2.375,,2003,21.802840784,21.802840784,7.06500693,282256
BEL,1.81,2.757,"",1.81,"",5.125,2.375,,2004,21.1853667874,7.3556451075,7.3556451075,298357
BEL,1.81,2.757,"",1.81,"",5.125,2.375,,2004,21.1853667874,21.1853667874,7.3556451075,298357
BEL,1.81,2.757,"",1.81,"",5.125,2.375,,2005,21.4817294103,7.390455209,7.390455209,311150
BEL,1.81,2.757,"",1.81,"",5.125,2.375,,2005,21.4817294103,21.4817294103,7.390455209,311150
BEL,1.81,2.757,"",1.81,"",5.125,2.375,,2006,20.5118214691,7.2439505157,7.2439505157,327368
BEL,1.81,2.757,"",1.81,"",5.125,2.375,,2006,20.5118214691,20.5118214691,7.2439505157,327368
BEL,1.81,2.757,"",1.81,"",5.125,2.375,,2007,18.8417622661,6.5912710163,6.5912710163,345069
BEL,1.81,2.757,"",1.81,"",5.125,2.375,,2007,18.8417622661,18.8417622661,6.5912710163,345069
BEL,1.81,2.757,2.947,1.81,2.076,5.125,2.375,2.417,2008,17.9716264034,6.1007545759,6.1007545759,355066
BEL,1.81,2.757,2.947,1.81,2.076,5.125,2.375,2.417,2008,17.9716264034,17.9716264034,6.1007545759,355066
BEL,1.81,2.757,2.947,1.81,2.076,5.125,2.375,2.417,2009,21.9442078776,6.7758067448,6.7758067448,349703
